external_id,email,push_enabled,marketing_opt_in,signup_date,country,attribution_source,last_purchase_at,purchase_count_90d,purchase_amount_90d,last_session_at,_segment_truth
u_002210,u_002210@example.com,1,1,2024-07-12,KR,Facebook Ads,2025-02-19,4,333838,2025-03-28,Loyal
u_009546,u_009546@example.com,1,0,2022-08-09,KR,naver_search,2024-08-09,0,0,2024-05-26,Lost
u_001389,u_001389@example.com,1,1,2023-01-20,KR,organic,2025-02-07,5,648676,2025-03-21,Loyal
u_001078,u_001078@example.com,0,1,2022-11-20,JP,organic,2025-01-19,5,334463,2025-03-24,Loyal
u_012420,u_012420@example.com,1,0,2022-08-07,KR,googleadwords_int,2024-11-06,0,0,2025-01-16,Potential
u_007497,u_007497@example.com,0,1,2024-02-19,KR,organic,,0,0,2024-05-05,Lost
u_012800,u_012800@example.com,1,1,2023-08-19,KR,Facebook Ads,2025-01-19,2,225064,2025-02-02,Potential
u_000429,u_000429@example.com,0,0,2022-12-14,KR,referral,2025-02-05,9,1257795,2025-03-27,Champion
u_007774,u_007774@example.com,0,0,2023-12-14,KR,googleadwords_int,,0,0,2024-08-03,Lost
u_011461,u_011461@example.com,0,0,2025-03-03,JP,Facebook Ads,2025-03-28,1,48552,2025-03-22,New
u_007790,u_007790@example.com,1,1,2022-12-07,KR,organic,2024-02-18,0,0,2024-08-26,Lost
u_011186,u_011186@example.com,1,1,2025-03-16,KR,googleadwords_int,2025-03-30,1,30139,2025-03-27,New
u_010477,u_010477@example.com,0,0,2023-10-29,KR,googleadwords_int,2024-03-21,0,0,2024-05-30,Lost
u_013807,u_013807@example.com,0,1,2022-04-04,KR,Facebook Ads,2025-01-11,3,241346,2025-01-18,Potential
u_006714,u_006714@example.com,0,1,2024-07-24,KR,googleadwords_int,2024-04-04,0,0,2024-07-27,Lost
u_002936,u_002936@example.com,1,0,2023-08-09,KR,naver_search,2024-12-09,0,0,2025-02-09,At-Risk
u_004521,u_004521@example.com,0,1,2024-12-14,KR,googleadwords_int,2024-11-30,0,0,2025-02-22,Hibernating
u_006349,u_006349@example.com,1,0,2023-03-09,KR,googleadwords_int,2024-02-09,0,0,2024-05-31,Lost
u_011412,u_011412@example.com,1,1,2025-03-28,KR,naver_search,2025-03-30,1,62848,2025-03-27,New
u_004595,u_004595@example.com,1,1,2023-08-26,KR,naver_search,2024-10-16,0,0,2025-02-25,Hibernating
u_006283,u_006283@example.com,1,1,2023-07-11,KR,googleadwords_int,2024-04-27,0,0,2024-08-18,Lost
u_010704,u_010704@example.com,1,0,2025-03-06,KR,organic,2025-03-30,1,92853,2025-03-22,New
u_002551,u_002551@example.com,1,1,2023-06-08,KR,naver_search,2024-12-08,0,0,2024-12-27,At-Risk
u_010221,u_010221@example.com,1,0,2024-11-15,KR,googleadwords_int,2024-03-28,0,0,2024-04-12,Lost
u_007001,u_007001@example.com,1,1,2023-02-09,KR,organic,,0,0,2024-07-09,Lost
u_011081,u_011081@example.com,1,1,2025-03-03,KR,organic,,0,0,2025-03-23,New
u_004342,u_004342@example.com,0,0,2022-12-19,KR,googleadwords_int,2024-12-19,0,0,2024-12-20,At-Risk
u_006448,u_006448@example.com,0,1,2022-08-12,US,Facebook Ads,,0,0,2024-06-18,Lost
u_008809,u_008809@example.com,0,1,2022-07-31,KR,organic,2024-08-25,0,0,2024-03-04,Lost
u_009146,u_009146@example.com,1,1,2024-07-17,KR,referral,,0,0,2024-06-30,Lost
u_004930,u_004930@example.com,1,1,2024-01-12,KR,googleadwords_int,2024-10-20,0,0,2025-01-05,Hibernating
u_006963,u_006963@example.com,1,1,2022-04-23,US,googleadwords_int,2024-05-19,0,0,2024-07-27,Lost
u_001112,u_001112@example.com,0,0,2022-04-05,KR,organic,2025-01-25,7,754491,2025-03-31,Loyal
u_010296,u_010296@example.com,1,1,2023-02-08,KR,Facebook Ads,,0,0,2024-08-24,Lost
u_008637,u_008637@example.com,1,1,2023-04-10,KR,naver_search,2024-04-10,0,0,2024-05-03,Lost
u_007461,u_007461@example.com,1,0,2024-03-19,KR,referral,,0,0,2024-05-27,Lost
u_000369,u_000369@example.com,1,1,2023-06-23,KR,Facebook Ads,2025-02-11,10,1983890,2025-03-26,Champion
